_id,hrg_current,hrg_last,id_kabkota,id_pasar,kategori,name,nm_kabkota,nm_pasar,perubahan,satuan,tanggal
625cf44bd849b4b11436bd14,27000,27000,bangkalankab,29,TELUR AYAM,- Telur Ayam Kampung,bangkalankab,Pasar Senenan,0,kg,2012-1-2
625cf44bd849b4b11436bd15,8000,8000,bangkalankab,29,SUSU,- Susu Kental Manis Merk Bendera,bangkalankab,Pasar Senenan,0,397 gr/kl,2012-1-2
625cf44bd849b4b11436bd16,7500,7500,bangkalankab,29,SUSU,- Susu Kental Manis Merk Indomilk,bangkalankab,Pasar Senenan,0,390 gr/kl,2012-1-2
625cf44bd849b4b11436bd17,20500,20500,bangkalankab,29,SUSU,- Susu Bubuk Merk Bendera (Instant),bangkalankab,Pasar Senenan,0,400 gr/dos,2012-1-2
625cf44bd849b4b11436bd18,20000,20000,bangkalankab,29,SUSU,- Susu Bubuk Merk Indomilk (Instant),bangkalankab,Pasar Senenan,0,400 gr/dos,2012-1-2
625cf44bd849b4b11436bd19,5000,5000,bangkalankab,29,- JAGUNG PIPILAN KERING,- JAGUNG PIPILAN KERING,bangkalankab,Pasar Senenan,0,kg,2012-1-2
625cf44bd849b4b11436bd1a,750,750,bangkalankab,29,- GARAM BERYODIUM,- Bata,bangkalankab,Pasar Senenan,0,Buah,2012-1-2
625cf44bd849b4b11436bd1b,3000,3000,bangkalankab,29,- GARAM BERYODIUM,- Halus,bangkalankab,Pasar Senenan,0,kg,2012-1-2
625cf44bd849b4b11436bd1c,7300,7300,bangkalankab,29,TEPUNG TERIGU,- Segitiga Biru (Kw Medium),bangkalankab,Pasar Senenan,0,kg,2012-1-2
625cf44bd849b4b11436bd1d,-,-,bangkalankab,29,KACANG KEDELAI,- Eks Impor,bangkalankab,Pasar Senenan,-,kg,2012-1-2
625cf44bd849b4b11436bd1e,8000,8000,bangkalankab,29,KACANG KEDELAI,- Lokal,bangkalankab,Pasar Senenan,0,kg,2012-1-2
625cf44bd849b4b11436bd1f,1300,1300,bangkalankab,29,MIE INSTANT,- Indomie Rasa Kari Ayam,bangkalankab,Pasar Senenan,0,Bungkus,2012-1-2
625cf44bd849b4b11436bd20,-,-,bangkalankab,29,CABE,- Keriting,bangkalankab,Pasar Senenan,-,kg,2012-1-2
625cf44bd849b4b11436bd21,25000,25000,bangkalankab,29,CABE,- Biasa,bangkalankab,Pasar Senenan,0,kg,2012-1-2
625cf44bd849b4b11436bd22,20000,20000,bangkalankab,29,CABE,- Cabe Rawit,bangkalankab,Pasar Senenan,0,kg,2012-1-2
625cf44bd849b4b11436bd23,10000,10000,bangkalankab,29,- BAWANG MERAH,- BAWANG MERAH,bangkalankab,Pasar Senenan,0,kg,2012-1-2
625cf44bd849b4b11436bd24,7000,7000,bangkalankab,29,- BAWANG MERAH,- BAWANG PUTIH,bangkalankab,Pasar Senenan,0,kg,2012-1-2
625cf44bd849b4b11436bd25,60000,60000,bangkalankab,29,- IKAN ASIN TERI,- IKAN ASIN TERI,bangkalankab,Pasar Senenan,0,kg,2012-1-2
625cf44bd849b4b11436bd26,13000,13000,bangkalankab,29,- KACANG HIJAU,- KACANG HIJAU,bangkalankab,Pasar Senenan,0,kg,2012-1-2
625cf44bd849b4b11436bd27,16000,16000,bangkalankab,29,- KACANG TANAH,- KACANG TANAH,bangkalankab,Pasar Senenan,0,kg,2012-1-2
625cf44bd849b4b11436bd28,2000,2000,bangkalankab,29,- KETELA POHON,- KETELA POHON,bangkalankab,Pasar Senenan,0,kg,2012-1-2
625cf44bd849b4b11436bd29,3000,3000,bangkalankab,29,SAYUR MAYUR,- KOL/KUBIS,bangkalankab,Pasar Senenan,0,kg,2012-1-2
625cf44bd849b4b11436bd2a,7500,7000,bangkalankab,29,SAYUR MAYUR,- KENTANG,bangkalankab,Pasar Senenan,500,kg,2012-1-2
